batch_id,timestamp,ligne,produit,temperature_c,pression_bar,ph,debit_l_min,energie_kwh,temps_cycle_min,rendement_pct,taux_rebut_pct,cout_batch_mad,emission_co2_kg,alarme,operateur,qualite_finale
PROC-00001,2026-01-21 09:00,Réacteur 2,Batch P3,71.28,1.78,6.54,104.76,158.81,102.1,92.16,8.12,1723.09,98.46,Aucune,Equipe C,Conforme
PROC-00002,2026-03-22 11:15,Ligne A,Batch P3,73.58,2.87,6.57,82.52,187.82,118.9,99.0,2.3,1799.21,116.45,Aucune,Equipe C,Conforme
PROC-00003,2026-04-25 08:30,Ligne A,Batch P3,77.53,3.49,6.86,110.97,193.02,113.7,82.11,5.16,3709.55,119.67,Aucune,Equipe B,Conforme
PROC-00004,2026-06-14 20:00,Ligne A,Batch P2,79.76,2.54,7.89,106.53,103.47,90.5,85.57,5.99,2523.03,64.15,Aucune,Equipe C,Conforme
PROC-00005,2026-01-20 22:00,Ligne A,Batch P3,70.72,4.97,7.97,104.75,65.05,87.9,86.1,2.15,935.35,40.33,Aucune,Equipe C,Conforme
PROC-00006,2026-01-01 17:30,Ligne B,Batch P1,67.37,3.71,6.72,120.41,179.77,108.7,,2.8,3140.82,111.46,Aucune,Equipe C,Conforme
PROC-00007,2026-05-25 11:15,Réacteur 2,Batch P3,63.71,3.92,6.81,108.24,160.97,114.6,85.28,2.83,3307.12,99.8,Aucune,Equipe B,À contrôler
PROC-00008,2026-02-07 22:45,Réacteur 1,Batch P2,79.0,3.6,7.92,137.72,71.77,75.5,89.52,3.65,2868.99,44.5,Aucune,Equipe A,À contrôler
PROC-00009,2026-04-27 16:45,Ligne A,Batch P2,75.35,3.42,7.78,117.32,151.66,89.7,88.89,6.76,1728.74,94.03,Aucune,Equipe C,Conforme
PROC-00010,2026-04-28 10:45,Ligne C,Batch P3,67.33,3.35,7.35,151.95,66.83,64.7,88.48,0.87,2117.41,41.43,Aucune,Equipe B,Conforme
PROC-00011,2026-05-08 17:45,Ligne B,Batch P1,65.5,1.5,8.06,125.74,163.81,89.2,86.24,7.56,2297.5,101.56,Aucune,Equipe B,Conforme
PROC-00012,2026-06-05 22:15,Réacteur 2,Batch P3,81.89,3.92,8.11,106.14,186.11,68.7,97.73,7.45,3400.17,115.39,Pression,Equipe B,Non conforme
PROC-00013,2026-05-20 14:30,Réacteur 2,Batch P3,78.16,2.23,6.55,95.92,287.44,79.0,92.44,6.78,3243.81,178.21,Aucune,Equipe B,Conforme
PROC-00014,2026-06-26 19:00,Ligne B,Batch P2,79.66,2.12,6.93,95.14,147.16,67.9,80.67,4.94,1208.69,91.24,Aucune,Equipe A,Conforme
PROC-00015,2026-04-02 10:00,Réacteur 2,Batch P4,62.29,2.88,6.95,111.24,109.76,99.1,93.23,3.99,1738.66,68.05,Température,Equipe B,Conforme
PROC-00016,2026-03-12 07:15,Réacteur 1,Batch P3,66.57,3.58,7.27,135.26,93.31,92.6,80.93,2.98,1358.93,57.85,Aucune,Equipe A,Conforme
PROC-00017,2026-02-16 18:30,Ligne B,Batch P4,68.63,3.14,7.44,85.57,250.46,133.6,90.31,5.36,3785.49,155.28,Aucune,Equipe B,Conforme
PROC-00018,2026-04-16 17:15,Ligne B,Batch P1,61.14,3.78,6.68,101.39,215.88,106.8,87.41,6.47,2566.32,133.85,Aucune,Equipe A,Conforme
PROC-00019,2026-06-07 07:45,Réacteur 1,Batch P2,73.94,3.57,7.78,111.74,134.88,102.8,82.82,0.9,1858.9,83.62,Aucune,Equipe A,Conforme
PROC-00020,2026-03-15 19:15,Ligne B,Batch P2,53.19,2.59,7.83,113.41,57.82,94.6,87.07,3.79,2646.53,35.85,Aucune,Equipe B,À contrôler
PROC-00021,2026-01-07 14:45,Ligne A,Batch P2,69.01,,6.64,144.99,216.13,106.5,90.76,,3736.07,134.0,Aucune,Equipe B,Conforme
PROC-00022,2026-04-14 14:45,Réacteur 1,Batch P1,72.96,2.1,6.86,112.64,119.49,93.3,78.25,4.93,3644.25,74.08,Aucune,Equipe A,Conforme
PROC-00023,2026-01-22 13:00,Ligne A,Batch P4,,3.99,7.95,104.14,96.24,90.5,78.95,5.5,3170.11,59.67,Aucune,Equipe C,Conforme
PROC-00024,2026-04-16 06:30,Réacteur 2,Batch P3,74.94,4.27,6.37,117.66,96.58,101.2,89.82,1.71,1888.93,59.88,Température,Equipe C,Conforme
PROC-00025,2026-04-11 16:30,Ligne B,Batch P2,81.53,2.89,6.62,69.7,262.99,80.6,81.23,0.57,3671.61,163.05,Aucune,Equipe B,Non conforme
PROC-00026,2026-06-20 19:45,Réacteur 1,Batch P3,63.77,3.62,6.5,113.69,146.8,101.6,84.51,9.14,1378.42,91.02,pH,Equipe A,À contrôler
PROC-00027,2026-03-17 14:45,Ligne C,Batch P2,65.87,2.65,7.38,120.12,104.78,98.9,92.58,2.02,2399.59,64.96,Pression,Equipe B,Conforme
PROC-00028,2026-02-13 19:45,Réacteur 2,Batch P2,63.93,3.33,7.9,52.85,207.0,86.2,87.43,7.74,2174.15,128.34,Aucune,Equipe A,Conforme
PROC-00029,2026-04-01 21:15,Réacteur 2,Batch P1,68.14,3.19,7.91,127.83,,84.0,80.4,1.93,1224.91,67.65,Aucune,Equipe C,Conforme
PROC-00030,2026-04-07 17:45,Réacteur 2,Batch P2,84.75,3.48,7.06,93.75,125.36,90.1,92.74,1.7,3621.92,77.72,Aucune,Equipe C,Conforme
PROC-00031,2026-01-02 06:45,Réacteur 2,Batch P2,63.27,2.58,6.71,101.82,176.54,,81.95,5.21,1309.86,109.46,Aucune,Equipe C,À contrôler
PROC-00032,2026-01-04 16:00,Réacteur 1,Batch P3,85.84,2.37,7.31,97.07,123.67,98.2,88.6,6.2,3295.76,76.68,Aucune,Equipe A,Conforme
PROC-00033,2026-01-15 07:00,Ligne B,Batch P4,71.63,4.57,8.11,66.51,135.34,80.4,86.72,6.01,2287.34,83.91,Aucune,Equipe B,Conforme
PROC-00034,2026-03-19 13:00,Réacteur 2,Batch P4,69.59,4.59,7.71,100.94,66.18,54.7,85.18,1.16,2678.19,41.03,Température,Equipe A,Conforme
PROC-00035,2026-01-14 10:00,Ligne B,Batch P2,76.71,2.3,8.17,125.56,90.39,82.8,82.74,7.94,2466.76,56.04,Aucune,Equipe C,Conforme
